Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Defensor Sporting Club,El TuertoLa ViolaLa VioletaLa Farola,15 de marzo de 1913 (111 años)(comoDefensor Football Club)[1]​,Alberto Ward,Martín Varini,Estadio Luis Franzini,"11.200Montevideo,Uruguay",16.000,11.200Montevideo,Defensor Sporting Club
Spezia Calcio S. r. l.,"Aquilotti(Aguiluchos), ""la Rocconeta""",10 de octubre de 1906 (117 años)comoSport Club Spezia,Philip Raymond Platek Jr.,Luca D'Angelo,Alberto Picco,"Via Nicolò Fieschi, 18, 19123La Spezia,Italia(Coord.44°06′08″N9°48′31″E﻿ / ﻿44.102222,9.808611)",10 366 espectadores,Via Nicolò Fieschi,Spezia Calcio
Los Angeles Galaxy,Los Galácticos[1]​,15 de junio de 1994 (29 años),Dan Beckerman (Presidente Ejecutivo AEG),Greg Vanney,Dignity Health Sports Park,"Los Angeles,Estados Unidos",27.000 espectadores,Los Angeles,Los Angeles Galaxy
Club Atlético San Lorenzo de Almagro,El CiclónLos CuervosLos SantosAzulgranaLos Matadores[1]​,1 de abril de 1908 (115 años),Marcelo Moretti,Rubén Darío Insúa,Pedro Bidegain«El Nuevo Gasómetro»,"Av. Perito Moreno y Av. Varela,Buenos Aires,Argentina",47 964 espectadores[3]​,Av. Perito Moreno y Av. Varela,CA San Lorenzo de Almagro
Colorado Rapids,PidsRapids,6 de junio de 1995 (28 años),Stan Kroenke,Chris Armas,DSG Park,"Commerce City,Colorado,Estados Unidos",33.680,Commerce City,Colorado Rapids
Pafos Football Club,No data,10 de junio de 2014 (9 años)[1]​[2]​,Roman Dubov,Juan Carlos Carcedo,Pafiako Stadium,"Paphos,Chipre",9394,Paphos,Pafos FC
Philadelphia Union,Philadelphia Rats[1]​The UnionZolos,28 de febrero de 2008 (16 años),Jay Sugarman,Jim Curtin[2]​,Subaru Park,"Chester,Pensilvania,Estados Unidos",18.500,Chester,Philadelphia Union
Hrvatski Nogometni Klub Gorica,Goričani,2009,Nenad Črnko,Samir Toplak,Estadio Radnik[1]​,Velika Gorica,8000,Velika Gorica,HNK Gorica
Club Atlético Lanús,El GranateGrana,3 de enero de 1915 (109 años),Luis María Chebel,Ricardo Zielinski,Ciudad de Lanús-Néstor Díaz Pérez,"Ramón Cabrero 2007, B1825ASILanús,Buenos Aires,Argentina[2]​",47 090[3]​,Ramón Cabrero 2007,Club Atlético Lanús
Фудбалски клуб Црвена звездаFudbalski klub Crvena Zvezda,Zvezda(Estrella)Crveno-beli(Rojiblancos),4 de marzo de 1945 (79 años),Svetozar Mijailović,Vladan Milojević,Rajko Mitić,Belgrado(Serbia),55.783[1]​ espectadores,Belgrado(Serbia),Red Star Belgrade
Botafogo de Futebol e Regatas,Fogão[1]​Estrela Solitaria(Estrella Solitaria)[2]​Glorioso[3]​,12 de agosto de 1904 (119 años),Durcesio Mello[5]​,Fabio Matias (interino)[7]​,"Estadio Nilton SantosRío de Janeiro,Brasil",No data,46.931 espectadores,No data,Botafogo de Futebol e Regatas
Fudbalski klub Spartak Subotica,Plavi Golubovi(Palomas azules),21 de abril de 1945 (78 años),Nikola Simović,Vladimir Buač,Gradski stadion Subotica,"Subotica,Serbia",13.000,Subotica,FK Spartak Subotica
Madureira Esporte Clube,Tricolor SuburbanoMadura,8 de agosto de 1914 (109 años),Elias Duba,Daniel Neri[1]​,Estadio Conselheiro Galvão,"Río de Janeiro,Brasil",1 709 espectadores[2]​,Río de Janeiro,Madureira EC
Gwangju Football Club광주 시민 프로축구단,Grifos de Gwangju,1 de diciembre de 2010 (13 años),Kang Gi-jeong,Lee Jung-hyo,Estadio de fútbol de Gwangju,"Gwangju,Corea del Sur",10 007,Gwangju,Gwangju FC
No data,No data,No data,No data,No data,No data,No data,No data,No data,CSKA Moscow
Футбольный клуб«Ростов»Futbolʹnyĭ Klub Rostov,RSMSelmashi,10 de mayo de 1930 (93 años),Artashes Arutyunyants,Valery Karpin,Rostov Arena,"Rostov,Rusia",45.000,Rostov,FK Rostov
