Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Chicago Fire Football Club,Hombres de Rojo(Men in Red)La Máquina Roja(Red Machine)El Fuego(The Fire),8 de octubre de 1997 (26 años),Joe Mansueto,Frank Klopas,Soldier Field,"Chicago,Illinois,Estados Unidos",61.500,Chicago,Chicago Fire FC
Fotbal Club CFR 1907 Cluj,Feroviarii(Ferroviarios)Ceferistii,noviembre 1907 (116 años),Cristian Balaj,Andrea Mandorlini,Dr. Constantin Rădulescu,"Cluj-Napoca,Rumania",25.000 espectadores,Cluj-Napoca,CFR Cluj
Club Internacional de Fútbol Miami[1]​,Las Garzas[2]​,29 de enero de 2018 (6 años),David Beckham,Gerardo Martino,DRV PNK Stadium,"Fort Lauderdale,Florida",21 550 espectadores,Fort Lauderdale,Inter Miami CF
Coritiba Foot Ball Club,"Coxa,[1]​Coxa-branca[2]​",12 de octubre de 1909 (114 años)[3]​,Glenn Stenger[4]​,Guto Ferreira[5]​,Estadio Major Antônio Couto Pereira,"Curitiba,Brasil",40 502 espectadores,Curitiba,Coritiba Foot Ball Club
Club de Regatas Vasco da Gama,Camisas Negras[1]​Gigante da Colina[2]​[3]​Time da Virada[4]​Trem-bala da Colina[5]​,21 de agosto de 1898 (125 años) (Club de Remo)26 de noviembre de 1915 (108 años) (Club de Fútbol),Pedrinho[7]​,Ramón Díaz[9]​,São Januário,"Río de Janeiro,Brasil",21 880 espectadores[10]​,Río de Janeiro,Clube de Regatas Vasco da Gama
Football Club Lausanne-Sport,Les bleu et blancLS,1896(128 años),David Thompson,Ludovic Magnin,Stade de la Tuilière,"Lausana,Suiza",12 500,Lausana,FC Lausanne-Sport
Unione Sportiva Salernitana 1919,Granata(Granates)Bersagliera(Ejército)Ippocampi(Hipocampos),1919comoUnione Sportiva Salernitana,Danilo Iervolino,Stefano Colantuono,Arechi,"Salerno,Italia",31 000 espectadores,Salerno,US Salernitana 1919
Società Sportiva Lazio,I Biancocelesti(Los Blanquicelestes)Le Aquile(Las Águilas)Aquilotti(Aguiluchos),9 de enero de 1900 (124 años),Claudio Lotito,Igor Tudor,"Olímpico de RomaRoma,Lacio,Italia",No data,72.700[1]​ espectadores,No data,SS Lazio
Crown Legacy FC,No data,4 de agosto de 2022 (1 años),Darrius Barnes,José Tavares,Mecklenburg County Sportsplex,"Matthews,Carolina del Norte",5 000 espectadores,Matthews,Crown Legacy FC
Koninklijke Voetbalclub Oostende,De Kustboys,1904 (120 años),Franck Dierckens,Stijn Vreven,Diaz Arena,"Ostende,Bélgica",8.432 espectadores,Ostende,KV Oostende
Arsenal Football Club,The Gunners(Los Artilleros)[1]​,1 de diciembre de 1886 (137 años)[2]​,Chips Keswick,Mikel Arteta,Emirates Stadium,"Londres,Inglaterra(Coord.51°33′18″N0°06′31″O﻿ / ﻿51.555,-0.108611)",60 704espectadores[3]​,Londres,Arsenal FC
Linzer Athletik-Sport-Klub,Die Schwarz-Weißen,25 de junio de 1908 (115 años),Siegmund Gruber,Andreas Wieland,Raiffeisen Arena,"Linz,Austria",19 080 espectadores,Linz,LASK
Atalanta Bergamasca Calcio,"La Dea(La Diosa)[1]​Gli Orobici(LosOróbicos)I Nerazzurri(Los Negriazules) (""Regina delle province"")",17 de octubre de 1907 (116 años),Antonio Percassi[2]​,Gian Piero Gasperini[3]​,Gewiss Stadium,"Bérgamo,Italia",21.300 espectadores[4]​,Bérgamo,Atalanta BC
Stade de Reims,Les rouges et blancs,18 de junio de 1931 (92 años),Jean-Pierre Caillot,Will Still,Stade Auguste Delaune,"Reims,Francia",21 684,Reims,Stade Reims
MOL Fehérvár Football Club,VidiFehérvár,1941,István Garancsi,Szabolcs Huszti[1]​,MOL Aréna Sóstó,"Székesfehérvár,Hungría",14 200,Székesfehérvár,Fehérvár FC
Професионален футболен клуб ЦСКА СофияProfesionalen futbolen klub CSKA Sofiya,Армейците(El ejército)Червените(Los Rojos),5 de mayo de 1948 (75 años),Hristo Stoichkov,Saša Ilić,Balgarska Armiya,"Sofía,Bulgaria",22.500,Sofía,CSKA 1948
No data,No data,No data,No data,No data,No data,No data,No data,No data,Volos NPS
Futbol Klubi Pakhtakor,Paxtakorlar (Algodoneros)Sherlar (Leones)Xalq jamoasi (Equipo del Pueblo),11 de abril de 1956 (67 años),Bobur Shodiev,Slavče Vojneski,Estadio Pakhtakor Markaziy,"Taskent,Uzbekistán",35 000,Taskent,Pakhtakor Tashkent
Konyaspor Kulübü,Anadolu Kartalı (Águila de Anatolia)Yeşil Beyaz (Los Verdi-Blancos),22 de junio de 1922 (101 años),Fatih Özgökçen,Aleksandar Stanojević,Estadio Konya Büyükşehir,"Konya,Turquía",40 000,Konya,Konyaspor
Club Alianza Lima,AliancistasBlanquiazulesBlanquimorados[n. 1]​El equipo del pueblo[1]​ÍntimosGronesVictorianos,15 de febrero de 1901 (123 años)(como Sport Alianza),Diego Guerrero(interino),Alejandro Restrepo,Alejandro Villanueva,"Av. Isabel La Católica 821La Victoria,Lima,Perú(Coord.12°4′7″S77°1′22″O﻿ / ﻿-12.06861,-77.02278)",33 938 espectadores[2]​,Av. Isabel La Católica 821La Victoria,Club Alianza Lima
D.C. United,DCUBlack-and-RedThe Men in BlackUnited,15 de junio de 1994 (29 años),Jason Levien,Troy Lesesne,Audi Field,"Washington D. C.,Estados Unidos",20.000,Washington D. C.,D.C. United
