Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Фудбалски клуб Црвена звездаFudbalski klub Crvena Zvezda,Zvezda(Estrella)Crveno-beli(Rojiblancos),4 de marzo de 1945 (79 años),Svetozar Mijailović,Vladan Milojević,Rajko Mitić,Belgrado(Serbia),55.783[1]​ espectadores,Belgrado(Serbia),Red Star Belgrade
Göztepe Spor Kulübü,Göz GözTam 35,14 de junio de 1925 (98 años),Mehmet Sepil,Stanimir Stoilov,Gürsel Aksel Stadium,"Esmirna,Turquía",25.035 espectadores,Esmirna,Göztepe
Liverpool Fútbol Club,NegriazulesLa CuchillaEl Negro de la Cuchilla,15 de febrero de 1915 (109 años),José Luis Palma,Emiliano Alfaro,Belvedere,"Montevideo,Uruguay",8500[1]​,Montevideo,Liverpool FC Montevideo
Club Deportivo Godoy Cruz Antonio Tomba,Tomba[1]​Bodeguero[1]​El Expreso[1]​,1 de junio de 1921 (102 años),Alejandro Chapini,Daniel Oldrá,Feliciano Gambarte,"Balcarce 477,Godoy Cruz,Mendoza,Argentina32°55′13″S68°50′22″O﻿ / ﻿-32.92028,-68.83944",15 000 espectadores,Balcarce 477,CD Godoy Cruz Antonio Tomba
Samsunspor Kulübü Derneği[1]​,Kırmızı Şimşekler(Rayo Rojo),30 de junio de 1965 (58 años),Yüksel Yıldırım,Ertuğrul Sağlam,Estadio de Samsun,"Samsun,Turquía",39.919[2]​,Samsun,Samsunspor
Colorado Rapids,PidsRapids,6 de junio de 1995 (28 años),Stan Kroenke,Chris Armas,DSG Park,"Commerce City,Colorado,Estados Unidos",33.680,Commerce City,Colorado Rapids
Chicago Fire Football Club,Hombres de Rojo(Men in Red)La Máquina Roja(Red Machine)El Fuego(The Fire),8 de octubre de 1997 (26 años),Joe Mansueto,Frank Klopas,Soldier Field,"Chicago,Illinois,Estados Unidos",61.500,Chicago,Chicago Fire FC
Envigado Fútbol Club S.A.,El Equipo NaranjaLa Naranja MecánicaLos Guerreros del AyuráLa Cantera de HéroesEl Equipo del Sur,14 de octubre de 1989 (34 años),Ramiro Ruiz,Dayron Pérez[1]​,Polideportivo Sur,"Envigado,Antioquia,Colombia",14.000[2]​,Envigado,Envigado FC
Fluminense Football Club,Flu[1]​FluzãoTricolor',21 de julio de 1902 (121 años),Mário Bittencourt[2]​,Fernando Diniz[4]​,"MaracanáEstadio das LaranjeirasRío de Janeiro,Brasil",No data,78.838[5]​ espectadores84.738 (FIFA)[6]​ espectadores8.000 espectadores(Laranjeiras)[7]​,No data,Fluminense Football Club
"Getafe Club de Fútbol, S. A. D.","Geta,[1]​Azulones,[2]​EuroGeta[3]​",8 de julio de 1983 (40 años)[4]​,Ángel Torres[5]​,José Bordalás,Coliseum[5]​,"Avda. Teresa de Calcuta S/N, 28903Getafe,Madrid[5]​",16.500 espectadores[5]​,Avda. Teresa de Calcuta S/N,Getafe CF
Montevideo City Torque,CitadinosCiudadanosEl City UruguayoLa TEl City Torque,26 de diciembre de 2007 (16 años),Raúl Aquino,Pablo Marini,No data,"Montevideo,Uruguay",No data,Montevideo,Montevideo City Torque
No data,No data,No data,No data,No data,No data,No data,No data,No data,Al-Ahli SFC
Samsunspor Kulübü Derneği[1]​,Kırmızı Şimşekler(Rayo Rojo),30 de junio de 1965 (58 años),Yüksel Yıldırım,Ertuğrul Sağlam,Estadio de Samsun,"Samsun,Turquía",39.919[2]​,Samsun,Samsunspor
Olympique Gymnaste Club de Nice,Les Aiglons(Las Águilas)L'OGCN,9 de julio de 1904 (119 años),Jean-Pierre Rivère,Francesco Farioli,Allianz Riviera,"Niza,Francia",35 000,Niza,OGC Nice
Nogometni klub Olimpija Ljubljana,Zmaji (Dragones)Zeleno-beli (Verde-Blanco),9 de mayo de 1911 (112 años),No data,No data,Estadio Bežigrad,"Liubliana,Eslovenia",8.211,Liubliana,NK Olimpija Ljubljana
Fortaleza Esporte Clube,Leão do Pici (León del Pici)[1]​Tricolor de Aço(Tricolor de Acero)[2]​,18 de octubre de 1918 (105 años),Alex Santiago[3]​,Juan Pablo Vojvoda[4]​,Castelão,"Fortaleza,Brasil",65 000 espectadores,Fortaleza,Fortaleza Esporte Clube
Građanski Nogometni Klub Dinamo,PlaviModri(Azules),9 de abril de 1911 (112 años)[1]​,Mirko Barišić,Sergej Jakirović,Maksimir,subsuelo,40.000[2]​ espectadores,subsuelo,GNK Dinamo Zagreb
Royal Antwerp Football Club,Great OldPloeg van 't StadLa Vieja Dama,1880 (144 años),Paul Gheysens,Mark van Bommel,Bosuilstadion,"Amberes,Bélgica",16 649,Amberes,Royal Antwerp FC
