Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Houston Dynamo Football Club,La NaranjaEl Dinamo,15 de diciembre de 2005 (18 años),Jessica O'Neill[1]​,Ben Olsen,Shell Energy Stadium,"Houston,Tejas,Estados Unidos",22.000 (espectadores),Houston,Houston Dynamo FC
Club Atlético Lanús,El GranateGrana,3 de enero de 1915 (109 años),Luis María Chebel,Ricardo Zielinski,Ciudad de Lanús-Néstor Díaz Pérez,"Ramón Cabrero 2007, B1825ASILanús,Buenos Aires,Argentina[2]​",47 090[3]​,Ramón Cabrero 2007,Club Atlético Lanús
Orense Sporting Club,"El vendaval verdeLa amenaza verdeFortín bananeroLos bananeros""El Equipo de la Provincia de El Oro""",15 de diciembre de 2009 (14 años)[1]​,Martha Romero,Nicolás Chietino,Estadio 9 de Mayo “Banco de Machala”,"Avdas. 25 de Junio y Las Palmeras,Machala,Ecuador",17 800 personas,Avdas. 25 de Junio y Las Palmeras,Orense SC
Fußball-Club Augsburg 1907 e. V.,"Fuggerstädter(Llamado así por la famosafamilia Fuggerde Augsburgo, fundadores deFuggerei)",8 de agosto de 1907 (116 años),Klaus Hofmann,Jess Thorup,Impuls Arena,"Augsburgo,Alemania",30 660,Augsburgo,FC Augsburg
Al-Shabab Club,Leones BlancosEl Jefe,1947 (77 años),Khalid Al-Baltan,Vítor Pereira,Príncipe Faisal bin Fahd,"Riad,Arabia Saudita",22.500,Riad,Al-Shabab FC
Hrvatski Nogometni klub Hajduk Split,Bili(Los blancos)Majstori s mora(Los maestros del mar)Dalmatinski ponos(Orgullo de Dalmacia),13 de febrero de 1911 (113 años),Lukša Jakobušić,Mislav Karoglan,Poljud,"8 Mediteranskih Igara 2, 21000,Split,Dalmacia,Croacia",33 987 espectadores[1]​,8 Mediteranskih Igara 2,HNK Hajduk Split
Konyaspor Kulübü,Anadolu Kartalı (Águila de Anatolia)Yeşil Beyaz (Los Verdi-Blancos),22 de junio de 1922 (101 años),Fatih Özgökçen,Aleksandar Stanojević,Estadio Konya Büyükşehir,"Konya,Turquía",40 000,Konya,Konyaspor
Newcastle United Football Club,The Magpies(Las Urracas)The GeordiesThe Toon,9 de diciembre de 1892 (131 años),Yasir Al-Rumayyan,Eddie Howe,St James' Park,"Newcastle upon Tyne(Coord.54°58′32″N1°37′18″O﻿ / ﻿54.975556,-1.621667)",52 354 espectadores[2]​,Newcastle upon Tyne(Coord.54°58′32″N1°37′18″O﻿ / ﻿54.975556,Newcastle United
Turn-und Sportgemeinschaft 1899 Hoffenheim e.V.,Die Kraichgauer(Los de la región de Kraichgau),1 de julio de 1899 (124 años),Kristian Baumgärtner[1]​,Pellegrino Matarazzo,Rhein-Neckar-Arena,"Sinsheim,Alemania",30 150,Sinsheim,TSG 1899 Hoffenheim
Verein für Leibesübungen Bochum 1848 Fußballgemeinschaft e.V.,"Die Unabsteigbaren(""Los indesmontables"")",1848(176 años),Hans-Peter Villis,Thomas Reis,Vonovia Ruhrstadion,"Bochum,Alemania",31.328,Bochum,VfL Bochum
Професионален футболен клуб ЦСКА СофияProfesionalen futbolen klub CSKA Sofiya,Армейците(El ejército)Червените(Los Rojos),5 de mayo de 1948 (75 años),Hristo Stoichkov,Saša Ilić,Balgarska Armiya,"Sofía,Bulgaria",22.500,Sofía,CSKA-Sofia
