Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Π. Α. Ε. Αθλητική Ένωσις Κωνσταντινουπόλεως(P. A. E. Unión Atlética de Constantinopla),Enosis (Unión)Dikefalos Aetos (Águila bicéfala)Kitrinomavri (Amarillos y negros),13 de abril de 1924 (99 años),Evangelos Aslanidis,Matías Almeyda,Agia Sofía,"Atenas,Grecia",32.000[1]​ espectadores,Atenas,AEK Athens
Associazione Sportiva Roma,I Giallorossi (Los Rojiamarillos)La Lupa (La Loba)La Magica (La Mágica)Capitolini (Capitolina)Lupetti (Pequeños Lobos)Lupi (Lobos),7 de junio de 1927 (96 años),Dan Friedkin,Daniele De Rossi,Olímpico de Roma,"Roma,Italia",72 700[1]​,Roma,AS Roma
Botafogo de Futebol e Regatas,Fogão[1]​Estrela Solitaria(Estrella Solitaria)[2]​Glorioso[3]​,12 de agosto de 1904 (119 años),Durcesio Mello[5]​,Fabio Matias (interino)[7]​,"Estadio Nilton SantosRío de Janeiro,Brasil",No data,46.931 espectadores,No data,Botafogo de Futebol e Regatas
Atlético Nacional S.A.,El VerdeEl Verde de la MontañaEl Verde PaisaLa Máquina VerdeLos Puros CriollosRey de CopasEl Verdolaga,30 de abril de 1947 (76 años)como Club Atlético Municipal de Medellín,Mauricio Navarro,Pablo Repetto,Atanasio Girardot,"Carrera 74 # 48-21Medellín,Colombia(Coord.6°13′00″N75°34′00″O﻿ / ﻿6.216667,-75.566667)",46 000[2]​,Carrera 74 # 48-21Medellín,Atlético Nacional
Club Especializado de Alto Rendimiento Independiente del Valle,El MatagigantesEl NegriazulLos rayados del valleIDV,1 de marzo de 1958 (66 años)(como Club Deportivo Independiente José Terán),Franklin Tello,Javier Gandolfi,Banco Guayaquil,"Manuel Quiroga,Quito,Ecuador",12 000 espectadores,Manuel Quiroga,Independiente del Valle
Club Universidad Nacional A.C.[1]​,Pumas[2]​Auriazules[3]​Universitarios[4]​Los del Pedregal[5]​,2 de agosto de 1954 (69 años),Luis Raúl González Pérez,Gustavo Lema,Olímpico Universitario,Ciudad de México,72 000[7]​,Ciudad de México,UNAM Pumas
Club Brugge Koninklijke Voetbalvereniging,Blauw-Zwart (Azul-Negro)The Academy,13 de noviembre de 1891 (132 años),Bart Verhaeghe,Ronny Deila,Jan Breydel,"Brujas,Bélgica",29 472,Brujas,Club Brugge KV
Deportivo Independiente Medellín,El Poderoso de la MontañaEl Rojo de la MontañaEl Equipo del PuebloEl Rey de CorazonesEl Azul y RojoEl DIMEl DecanoEl MedalloEl MatadorEl Milancito,14 de noviembre de 1913 (110 años),Daniel Ossa Giraldo,Alfredo Arias,Atanasio Girardot,"Medellín,Antioquia,Colombia",46 000[1]​,Medellín,Independiente Medellín
Stade Athletique Spinalien Épinal,No data,"1941, (83 años)",Stéphane Viry,Laurent Bénier,Stade de la Colombière,"Épinal,Francia",8.250,Épinal,SAS Epinal
Valenciennes Football Club,"VA,VAFC,Les Athéniens (Los atenienses)",1913 (111 años),Dragan Solak,Jorge Maciel,Stade du Hainaut,"Valenciennes,Francia",25.172,Valenciennes,Valenciennes FC
Paradou Athletic Club,Pacistas,16 de agosto de 1994 (29 años),Hassen Zetchi,Corentin Martins,Stade Hydra,"Algiers,Argelia",5000,Algiers,Paradou AC
Los Angeles Football Club,No data,30 de octubre de 2014 (9 años),Tom Penn,Steve Cherundolo,BMO Stadium,"Los Ángeles,California,Estados Unidos",22.000,Los Ángeles,Los Angeles FC
Neuchâtel Xamax Football Club Serrières,Rouge et Noir,1912,Christian Binggeli,Stéphane Henchoz,Stade de la Maladière,"Neuchâtel,Suiza",11.997,Neuchâtel,Neuchâtel Xamax FCS
Sport Lisboa e Benfica,Os Encarnados(Los Encarnados)[1]​O Glorioso(El Glorioso)[2]​,28 de febrero de 1904 (120 años),Rui Costa,Roger Schmidt,Estádio da Luz,"Lisboa,Portugal",66.500[3]​ espectadores,Lisboa,SL Benfica
No data,No data,No data,No data,No data,No data,No data,No data,No data,Vålerenga Fotball Elite
Angers Sporting Club de l'Ouest,Les Scoïstes,10 de octubre de 1919 (104 años),Romain Chabane,Alexandre Dujeux,Stade Raymond Kopa,"Angers,Francia",16.300,Angers,Angers SCO
Ironi Kiryat Shmona Football Club,No data,2000 (24 años),Izzy Sheratzky,Kobi Refua,Ironi Stadium,"Kiryat Shemona,Israel",5.300,Kiryat Shemona,Ironi Kiryat Shmona
Nogometna Šola Mura,Črno-beli(Los Negro y Blanco)[1]​,2012[2]​,Robert Kuzmič[3]​,Damir Čontala,Fazanerija,"Murska Sobota,Eslovenia",3782,Murska Sobota,NS Mura
Club Universidad Nacional A.C.[1]​,Pumas[2]​Auriazules[3]​Universitarios[4]​Los del Pedregal[5]​,2 de agosto de 1954 (69 años),Luis Raúl González Pérez,Gustavo Lema,Olímpico Universitario,Ciudad de México,72 000[7]​,Ciudad de México,UNAM Pumas
"Elche Club de Fútbol, S. A. D.",IlicitanosFranjiverdes,28 de agosto de 1922 (101 años)(fundación)10 de enero de 1923 (101 años)(federación),Joaquín Buitrago,Sebastián Beccacece,Martínez Valero,"Elche,Comunidad Valenciana,España",33 732 espectadores,Elche,Elche CF
Građanski Nogometni Klub Dinamo,PlaviModri(Azules),9 de abril de 1911 (112 años)[1]​,Mirko Barišić,Sergej Jakirović,Maksimir,subsuelo,40.000[2]​ espectadores,subsuelo,GNK Dinamo Zagreb
Vitória Sport Clube,VimaranensesConquistadores,22 de septiembre de 1922 (101 años),António Miguel Cardoso,Álvaro Pacheco,Dom Afonso Henriques,"Guimarães,Portugal",30 029,Guimarães,Vitória Guimarães SC
Randers Football Club,Hestene (Caballos),1 de enero de 2003 (21 años),Svend Lynge Jørgensen,Rasmus Bertelsen,AutoC Park,"Randers,Dinamarca",12.000,Randers,Randers FC
Nogometni klub Olimpija Ljubljana,Zmaji (Dragones)Zeleno-beli (Verde-Blanco),9 de mayo de 1911 (112 años),No data,No data,Estadio Bežigrad,"Liubliana,Eslovenia",8.211,Liubliana,NK Olimpija Ljubljana
Al-Markhiya Sports Club[1]​,Al-Hazm[2]​,1995 (comoAl-Ittifaq)[2]​2004 (comoAl-Markhiya)[2]​,No data,Madjid Bougherra[3]​,"Estadio Al-Markhiya[4]​Doha,Catar[1]​",No data,200[4]​,No data,Al-Markhiya SC
Racing Club de Estrasburgo Alsacia,Les Bleu et Blanc[1]​,1906,Marc Keller,Patrick Vieira,Stade de la Meinau,"Estrasburgo,Francia",26 109,Estrasburgo,RC Strasbourg Alsace
Spezia Calcio S. r. l.,"Aquilotti(Aguiluchos), ""la Rocconeta""",10 de octubre de 1906 (117 años)comoSport Club Spezia,Philip Raymond Platek Jr.,Luca D'Angelo,Alberto Picco,"Via Nicolò Fieschi, 18, 19123La Spezia,Italia(Coord.44°06′08″N9°48′31″E﻿ / ﻿44.102222,9.808611)",10 366 espectadores,Via Nicolò Fieschi,Spezia Calcio
Sport Club Corinthians Paulista,Coringão[1]​Timão[2]​ (Equipazo)Time do Povo (Equipo del Pueblo)[3]​,1 de septiembre de 1910 (113 años),Augusto Melo[4]​,António Oliveira[5]​,Neo Química Arena,"Sao Paulo,Brasil",49 205 espectadores[6]​,Sao Paulo,Sport Club Corinthians Paulista
İstanbulspor Anonim Şirketi,Sarı Boğalar(Toros Amarillos)İstanbul Boğaları(Toros de Estambul),4 de enero de 1926 (98 años)[1]​,Ecmel Faik Sarıalioğlu,Osman Zeki Korkmaz,Estadio Necmi Kadıoğlu,"Estambul,Turquía",4350,Estambul,Istanbulspor
Udinese Calcio,FriulaniBianconeriLe Zebrette,1 de enero de 1896 (128 años),Franco Soldati,Gabriele Cioffi,Stadio Friuli,"Údine,Italia",25 000 espectadores,Údine,Udinese Calcio
Società Sportiva Calcio NapoliS.p.A.,Gli Azzurri(Los Azules)[1]​I Partenopei(LosPartenopeos)[2]​,1 de agosto de 1926 (97 años)comoAssociazione Calcio Napoli[3]​,Aurelio De Laurentiis[6]​,Francesco Calzona,Diego Armando Maradona[7]​,"Via Pietro Jacopo de Gennaro80125Nápoles,Italia",54.726[8]​ espectadores,Via Pietro Jacopo de Gennaro80125Nápoles,SSC Napoli
No data,No data,No data,No data,No data,No data,No data,No data,No data,Austria Vienna
