Nombre,Apodo(s),Fundación,Presidente,Entrenador,Estadio,Ubicación,Capacidad,city,name_reported
Muaither Sports Club,Muaither,1996,Saleh Al-Ajji[1]​,Munir Jouani[3]​,Muaither Sports Club Stadium,"Rayán,Catar",27 000,Rayán,Muaither SC
No data,No data,No data,No data,No data,No data,No data,No data,No data,Fenerbahce
Qatar Sports Club,The Kings,1959 (65 años),Hamad bin Suhaim Al Thani[1]​,Hélio Sousa,"Estadio Qatar SCDoha,Catar",No data,20 000,No data,Qatar SC
Altay Spor Kulübü,Gran Altay,14 de enero de 1914 (110 años),Özgür Ekmekçioğlu,Sinan Kaloglu,Estadio Alsancak Mustafa Denizli,"Esmirna,Turquía",15.000,Esmirna,Altay SK
Football Club Midtjylland,Ulvene(Lobos),15 de junio de 1999 (24 años),Rasmus Ankersen,Thomas Thomasberg,MCH Arena,"Herning,Dinamarca",12.000,Herning,FC Midtjylland
Esporte Clube Bahia,Bahêa[1]​Tricolor de Aço(Tricolor de Acero)[2]​Esquadrão de Aço(Esquadrón de Acero)[3]​,1 de enero de 1931 (93 años),Emerson Ferretti[5]​,Rogério Ceni[7]​,Arena Fonte Nova,"Salvador de Bahía,Brasil",50 000 espectadores,Salvador de Bahía,Esporte Clube Bahia
Club Atlético Boston River,El BostonVerdirrojoEl Sastre,20 de febrero de 1939 (85 años),Roberto Perdomo Protti,Alejandro Apud,"Desde2022, oficia de local en elEstadio Parque Artigas","Las Piedras,Canelones",2 500,Las Piedras,CA Boston River
Valenciennes Football Club,"VA,VAFC,Les Athéniens (Los atenienses)",1913 (111 años),Dragan Solak,Jorge Maciel,Stade du Hainaut,"Valenciennes,Francia",25.172,Valenciennes,Valenciennes FC
Stade de Reims,Les rouges et blancs,18 de junio de 1931 (92 años),Jean-Pierre Caillot,Will Still,Stade Auguste Delaune,"Reims,Francia",21 684,Reims,Stade Reims
Fortuna Sittard,"Fortuna, Fortunezen",1 de julio de 1968,No data,Danny Buijs,Fortuna Sittard Stadion,No data,12.800,No data,Fortuna Sittard
Futebol Clube Famalicão,FamalicensesVila NovaAzuls e Brancos,21 de agosto de 1931 (92 años),Jorge Silva[2]​,João Pedro Sousa,Estádio Municipal 22 de Junho,"Vila Nova de Famalicão,Portugal",8000,Vila Nova de Famalicão,FC Famalicão
Samsunspor Kulübü Derneği[1]​,Kırmızı Şimşekler(Rayo Rojo),30 de junio de 1965 (58 años),Yüksel Yıldırım,Ertuğrul Sağlam,Estadio de Samsun,"Samsun,Turquía",39.919[2]​,Samsun,Samsunspor
Club Internacional de Fútbol Miami[1]​,Las Garzas[2]​,29 de enero de 2018 (6 años),David Beckham,Gerardo Martino,DRV PNK Stadium,"Fort Lauderdale,Florida",21 550 espectadores,Fort Lauderdale,Inter Miami CF
Raja Club Athletic,Águilas Verdes[1]​El Equipo del Pueblo[2]​Raja MundialBianco VerdeDiablos Verdes,20 de marzo de 1949 (75 años),Mohamed Boudrika,Josef Zinnbauer,Estadio Mohammed V,Casablanca,67.000,Casablanca,Raja Club Athletic
Club Atlético Tigre,MatadorAzules del Norte,3 de agosto de 1902 (121 años),Martín Suárez,Néstor Gorosito,José Dellagiovanna«El Coliseo»,"Guido y Spano 1053Victoria,San FernandoBuenos AiresArgentina",28.648 espectadores[2]​,Guido y Spano 1053Victoria,Club Atlético Tigre
Sporting Clube de Portugal,Leões(Leones)Verde e Brancos(Verde y Blancos),1 de julio de 1906 (117 años),Frederico Varandas[1]​,Rúben Amorim[2]​,Estadio José Alvalade,"Lisboa,Portugal",52.000 espectadores[3]​,Lisboa,Sporting CP
Coritiba Foot Ball Club,"Coxa,[1]​Coxa-branca[2]​",12 de octubre de 1909 (114 años)[3]​,Glenn Stenger[4]​,Guto Ferreira[5]​,Estadio Major Antônio Couto Pereira,"Curitiba,Brasil",40 502 espectadores,Curitiba,Coritiba Foot Ball Club
"Levante Unión Deportiva, S. A. D.",Levantinistas[1]​Granotas[2]​[3]​Azulgranas[4]​[5]​,9 de septiembre de 1909 (114 años),Pedro Sánchez,Pep Guardiola,Ciutat de Valencia,"Valencia,España",26 354,Valencia,Levante UD
Unione Calcio Sampdoria,"Blucerchiati(Circundados de azul),La Samp,El Doria",12 de agosto de 1946 (77 años),Marco Lanna,Andrea Pirlo,Luigi Ferraris,"Génova,Italia",35 599 espectadores,Génova,UC Sampdoria
Atlético Nacional S.A.,El VerdeEl Verde de la MontañaEl Verde PaisaLa Máquina VerdeLos Puros CriollosRey de CopasEl Verdolaga,30 de abril de 1947 (76 años)como Club Atlético Municipal de Medellín,Mauricio Navarro,Pablo Repetto,Atanasio Girardot,"Carrera 74 # 48-21Medellín,Colombia(Coord.6°13′00″N75°34′00″O﻿ / ﻿6.216667,-75.566667)",46 000[2]​,Carrera 74 # 48-21Medellín,Atlético Nacional
"Unión Deportiva Almería, S. A. D.","Almería,Indálicos,Almeriensistas",26 de julio de 1989 (33 años),Turki Al-Sheikh[1]​,Pepe Mel,Estadio de los Juegos Mediterráneos,"Almería,España",18 331 espectadores[2]​,Almería,UD Almería
Football Club Dallas,CowboysBurnThe BullTorosHoopsFCDRed StripesFrisco Kids,14 de abril de 1996 (27 años)(ComoDallas Burn),No data,Nico Estévez,Toyota Stadium,"Frisco,Texas,Estados Unidos",21.193,Frisco,FC Dallas
Unione Sportiva Salernitana 1919,Granata(Granates)Bersagliera(Ejército)Ippocampi(Hipocampos),1919comoUnione Sportiva Salernitana,Danilo Iervolino,Stefano Colantuono,Arechi,"Salerno,Italia",31 000 espectadores,Salerno,US Salernitana 1919
Ballspielverein Borussia 09 e.V. Dortmund(Borussia Dortmund GmbH & Co. KGaA)[1]​,Die Schwarzgelben(Los negriamarillos)[2]​,19 de diciembre de 1909 (114 años),Reinhold Lunow,Edin Terzić,Signal Iduna Park,"Strobelalee, 50, 44139Dortmund,Renania del Norte-Westfalia,Alemania",81.500 espectadores[3]​,Strobelalee,Borussia Dortmund
Espérance Sportive de Tunis,TarajiMkachkhaSangre y oroEl gul de AfricaEl mayor de los clubes tunecinosDawla,15 de enero de 1919 (105 años),Hamdi Meddeb,Miguel Cardoso,Estadio El Menzah,"Túnez,Túnez",45.000,Túnez,Esperance Tunis
Étoile Sportive du Sahel,Diablos RojosRoji-BlancosPerla de la Costa,11 de mayo de 1925 (98 años),Ridha Charfeddine,Faouzi Benzarti,Estadio Olímpico de Susa,"Susa,Túnez",50.000,Susa,Etoile Sportive du Sahel
Hrvatski Nogometni klub Hajduk Split,Bili(Los blancos)Majstori s mora(Los maestros del mar)Dalmatinski ponos(Orgullo de Dalmacia),13 de febrero de 1911 (113 años),Lukša Jakobušić,Mislav Karoglan,Poljud,"8 Mediteranskih Igara 2, 21000,Split,Dalmacia,Croacia",33 987 espectadores[1]​,8 Mediteranskih Igara 2,HNK Hajduk Split
Torino Football Club 1906,Il ToroI Granata,3 de diciembre de 1906 (117 años),Urbano Cairo,Ivan Jurić,Olímpico de Turín[1]​,"Piazzale Grande Torino 10136,Turín,Italia",28 177 espectadores,Piazzale Grande Torino 10136,Torino FC
São Paulo Futebol Clube,Tricolor PaulistaTricolor del MorumbiSoberano[1]​O Clube da Fé[2]​Los Brancos,25 de enero de 1930 (94 años),Julio Casares[3]​,Thiago Carpini[5]​,MorumBIS,"São Paulo,Brasil",72 039 espectadores,São Paulo,São Paulo Futebol Clube
Fotbal Club U Craiova 1948 S.A.,Leii albaştri(Leones azules)Alb-Albaștrii(Blanquiazules),1948,MarcelPușcaș,No data,Baza sportiva Arena Leilor,"Craiova,Rumanía",No data,Craiova,FC U Craiova 1948
Bayer 04 Leverkusen Fußball GmbH,Die Werkself(Los 11 de la Compañía)[1]​,1 de julio de 1904 (119 años),Fernando Carro,Xabi Alonso[3]​,BayArena,"Leverkusen,Alemania",30 210 espectadores,Leverkusen,Bayer 04 Leverkusen
Paris Saint-Germain Football Club,PSGLes Parisiens(Los Parisinos)Les Rouge et Bleu(Los Rojos y Azules),12 de agosto de 1970 (53 años),Nasser Al-Khelaïfi,Luis Enrique,Parque de los Príncipes,"París,Francia",47.929,París,Paris Saint-Germain
Espérance Sportive de Tunis,TarajiMkachkhaSangre y oroEl gul de AfricaEl mayor de los clubes tunecinosDawla,15 de enero de 1919 (105 años),Hamdi Meddeb,Miguel Cardoso,Estadio El Menzah,"Túnez,Túnez",45.000,Túnez,Esperance Tunis
Bilbao Athletic(filial delAthletic Club),Los Cachorros (katxorros),1964 (60 años)(Club Atlético de Bilbao Amateur),Jon Uriarte,Carlos Gurpegi,Instalaciones de Lezama,"Lezama(Vizcaya,España)",3250 espectadores,Lezama(Vizcaya,Athletic Bilbao
