name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
Tabriz,38.0739964,46.2961952,East Azerbaijan Province,IR,Clouds,broken clouds,2024-03-26 13:18:31,Tractor FC
Aalborg,57.0462626,9.9215263,North Denmark Region,DK,Clouds,broken clouds,2024-03-26 13:18:35,Aalborg BK
Britannia RdSouthampton(Coord.50°54′21″N1°23′28″O﻿ / ﻿50.905833,No data,No data,No data,No data,No data,No data,No data,Southampton FC U21
Londres(Coord.51°32′19″N0°00′59″O﻿ / ﻿51.538611,No data,No data,No data,No data,No data,No data,No data,West Ham United
Libramiento Poniente,No data,No data,No data,No data,No data,No data,No data,CF Monterrey U23
Adana,No data,No data,No data,No data,No data,No data,No data,Adana Demirspor
Leeds,53.7974185,-1.5437941,England,GB,Clouds,scattered clouds,2024-03-26 13:18:38,Leeds United
Derby(Coord.52°54′54″N1°26′50″O﻿ / ﻿52.915,No data,No data,No data,No data,No data,No data,No data,Derby County
SheffieldReino UnidoReino Unido(Coord.53°22′13″N1°28′15″O﻿ / ﻿53.370278,No data,No data,No data,No data,No data,No data,No data,Sheffield United
London RoadPeterborough(Coord.52°33′53″N0°14′25″O﻿ / ﻿52.564697,No data,No data,No data,No data,No data,No data,No data,Peterborough United
Commerce City,39.8083196,-104.9338675,Colorado,US,Clouds,scattered clouds,2024-03-26 13:15:59,Colorado Rapids
Londres,51.5073219,-0.1276474,England,GB,Rain,moderate rain,2024-03-26 13:17:24,Arsenal FC U21
Cagliari,39.2171994,9.113311,Sardinia,IT,Clouds,few clouds,2024-03-26 13:18:50,Cagliari Calcio
Lorient,47.7477336,-3.3660907,Brittany,FR,Clouds,few clouds,2024-03-26 13:18:54,FC Lorient
No data,No data,No data,No data,No data,No data,No data,No data,VfL Wolfsburg
Arnhem,51.984257,5.9108573,Gelderland,NL,Clouds,overcast clouds,2024-03-26 13:18:59,Vitesse Arnhem
Hobro,56.6371753,9.7939799,North Denmark Region,DK,Clouds,overcast clouds,2024-03-26 13:19:03,Hobro IK
Verona,45.4384958,10.9924122,Veneto,IT,Clouds,broken clouds,2024-03-26 13:19:08,Hellas Verona
Cardiff(Coord.51°28′22″N3°12′11″O﻿ / ﻿51.472778,No data,No data,No data,No data,No data,No data,No data,Cardiff City
No data,No data,No data,No data,No data,No data,No data,No data,Botafogo de Futebol e Regatas
Randers,56.4355428,10.0425957,Central Denmark Region,DK,Clouds,overcast clouds,2024-03-26 13:19:12,Randers FC
Santos,-23.960833,-46.333889,São Paulo,BR,Rain,light rain,2024-03-26 13:18:38,Santos FC
Carrera 30 y Calle 57,No data,No data,No data,No data,No data,No data,No data,Millonarios FC
No data,No data,No data,No data,No data,No data,No data,No data,Wolverhampton Wanderers U21
Fulham Rd,No data,No data,No data,No data,No data,No data,No data,Chelsea FC
Londres(Coord.51°32′19″N0°00′59″O﻿ / ﻿51.538611,No data,No data,No data,No data,No data,No data,No data,West Ham United
Wolverhampton(Coord.52°35′25″N2°07′49″O﻿ / ﻿52.590278,No data,No data,No data,No data,No data,No data,No data,Wolverhampton Wanderers
Burnley,53.7907262,-2.2439196,England,GB,Clouds,overcast clouds,2024-03-26 13:19:17,Burnley FC
Estambul,No data,No data,No data,No data,No data,No data,No data,Galatasaray
Londres(Coord.51°28′30″N0°13′18″O﻿ / ﻿51.475,No data,No data,No data,No data,No data,No data,No data,Fulham FC
Burnley,53.7907262,-2.2439196,England,GB,Clouds,overcast clouds,2024-03-26 13:19:17,Burnley FC
Sunderland(Coord.54°54′52″N1°23′18″O﻿ / ﻿54.9144,No data,No data,No data,No data,No data,No data,No data,Sunderland AFC
Orlando,28.5421109,-81.3790304,Florida,US,Clouds,scattered clouds,2024-03-26 13:14:22,Orlando City SC
No data,No data,No data,No data,No data,No data,No data,No data,Swansea City
Glasgow,55.8609825,-4.2488787,Scotland,GB,Clouds,overcast clouds,2024-03-26 13:19:24,Celtic FC
Belgrado(Serbia),No data,No data,No data,No data,No data,No data,No data,Red Star Belgrade
Norwich(Coord.52°37′20″N1°18′31″E﻿ / ﻿52.622128,No data,No data,No data,No data,No data,No data,No data,Norwich City
Estrasburgo,48.584614,7.7507127,Grand Est,FR,Clear,clear sky,2024-03-26 13:19:25,RC Strasbourg Alsace
Paseo de Cervantes,No data,No data,No data,No data,No data,No data,No data,Deportivo Alavés
Avda. Isabel la Católica s/nZaragoza,No data,No data,No data,No data,No data,No data,No data,Real Zaragoza
Bolonia,44.4938203,11.3426327,Emilia-Romagna,IT,Drizzle,light intensity drizzle,2024-03-26 13:19:27,Bologna FC 1909
Elche,38.2653307,-0.6988391,Valencian Community,ES,Clouds,few clouds,2024-03-26 13:19:30,Elche CF
Grove StreetBarnsley(Coord.53°33′08″N1°28′03″O﻿ / ﻿53.552222,No data,No data,No data,No data,No data,No data,No data,Barnsley FC
Nantes,47.2186371,-1.5541362,Pays de la Loire,FR,Clouds,broken clouds,2024-03-26 13:19:33,FC Nantes
Calzada de Tlalpan,No data,No data,No data,No data,No data,No data,No data,CF América
Norwich(Coord.52°37′20″N1°18′31″E﻿ / ﻿52.622128,No data,No data,No data,No data,No data,No data,No data,Norwich City
Deventer,52.2695736,6.236339604766698,Overijssel,NL,Clouds,overcast clouds,2024-03-26 13:19:35,Go Ahead Eagles
Londres,51.5073219,-0.1276474,England,GB,Rain,moderate rain,2024-03-26 13:17:24,Tottenham Hotspur
Farum,55.8101232,12.3702505,Capital Region of Denmark,DK,Clouds,overcast clouds,2024-03-26 13:19:42,FC Nordsjaelland
Avda. Teresa de Calcuta S/N,No data,No data,No data,No data,No data,No data,No data,Getafe CF
Av. de Heliópolis,No data,No data,No data,No data,No data,No data,No data,Real Betis Balompié
Valenciennes,50.3579317,3.5234846,Hauts-de-France,FR,Clouds,overcast clouds,2024-03-26 13:19:44,Valenciennes FC
Herning,56.1379757,8.9746623,Central Denmark Region,DK,Clouds,overcast clouds,2024-03-26 13:19:48,FC Midtjylland
Mánchester,53.4794892,-2.2451148,England,GB,Clouds,broken clouds,2024-03-26 13:19:52,Manchester City
Nottingham,52.9534193,-1.1496461,England,GB,Rain,light rain,2024-03-26 13:19:54,Nottingham Forest
Rennes,48.1113387,-1.6800198,Brittany,FR,Clear,clear sky,2024-03-26 13:19:56,Stade Rennais FC
Arnhem,51.984257,5.9108573,Gelderland,NL,Clouds,overcast clouds,2024-03-26 13:18:59,Vitesse Arnhem
No data,No data,No data,No data,No data,No data,No data,No data,Genoa U19
Niza,43.7009358,7.2683912,Provence-Alpes-Côte d'Azur,FR,Clouds,overcast clouds,2024-03-26 13:20:06,OGC Nice
Pamplona,42.8182536,-1.6440304,Navarre,ES,Clear,clear sky,2024-03-26 13:20:09,CA Osasuna
Adelaida,-34.9281805,138.5999312,South Australia,AU,Clouds,few clouds,2024-03-26 13:20:13,Adelaide United
No data,No data,No data,No data,No data,No data,No data,No data,Wolverhampton Wanderers U21
Charlotte,35.2272086,-80.8430827,North Carolina,US,Clouds,overcast clouds,2024-03-26 13:18:08,Charlotte FC
Belo Horizonte,-19.9227318,-43.9450948,Minas Gerais,BR,Rain,light rain,2024-03-26 13:17:01,Cruzeiro Esporte Clube
Leganés,40.3281942,-3.76527,Community of Madrid,ES,Clouds,broken clouds,2024-03-26 13:20:23,CD Leganés
Liverpool,53.4071991,-2.99168,England,GB,Clouds,scattered clouds,2024-03-26 13:20:27,Everton FC
Trinity Road,No data,No data,No data,No data,No data,No data,No data,Aston Villa
Fulham Rd,No data,No data,No data,No data,No data,No data,No data,Chelsea FC
São Paulo,-23.5506507,-46.6333824,São Paulo,BR,Rain,light rain,2024-03-26 13:15:56,São Paulo Futebol Clube
Oporto,No data,No data,No data,No data,No data,No data,No data,FC Porto B
Mónaco,48.1371079,11.5753822,Bavaria,DE,Clouds,overcast clouds,2024-03-26 13:16:37,AS Monaco
Newcastle upon Tyne(Coord.54°58′32″N1°37′18″O﻿ / ﻿54.975556,No data,No data,No data,No data,No data,No data,No data,Newcastle United
Lens,50.4291723,2.8319805,Hauts-de-France,FR,Rain,light rain,2024-03-26 13:20:37,RC Lens
Lieja,50.6450944,5.5736112,Liège,BE,Clear,clear sky,2024-03-26 13:20:40,RFC Lüttich
Plaza de Madrid,No data,No data,No data,No data,No data,No data,No data,Cádiz CF
Ámsterdam,52.3727598,4.8936041,North Holland,NL,Clear,clear sky,2024-03-26 13:18:21,Ajax Amsterdam
Westerlo,51.086694,4.9168675,Antwerp,BE,Clouds,overcast clouds,2024-03-26 13:20:49,KVC Westerlo
Charles Malisstraat 61B-1080Sint-Jans-Molenbeek,No data,No data,No data,No data,No data,No data,No data,RWD Molenbeek
Stavanger,No data,No data,No data,No data,No data,No data,No data,Viking FK
Nottingham,52.9534193,-1.1496461,England,GB,Rain,light rain,2024-03-26 13:19:54,Nottingham Forest
Troyes,48.2971626,4.0746257,Grand Est,FR,Clouds,overcast clouds,2024-03-26 13:20:57,ESTAC Troyes
Pamplona,42.8182536,-1.6440304,Navarre,ES,Clear,clear sky,2024-03-26 13:21:00,CA Osasuna
Breslavia,51.1089776,17.0326689,Lower Silesian Voivodeship,PL,Clear,clear sky,2024-03-26 13:21:03,Slask Wroclaw
Piazzale Grande Torino 10136,No data,No data,No data,No data,No data,No data,No data,Torino FC
No data,No data,No data,No data,No data,No data,No data,No data,Aston Villa U21
No data,No data,No data,No data,No data,No data,No data,No data,Liverpool FC U21
Londres,51.5073219,-0.1276474,England,GB,Rain,moderate rain,2024-03-26 13:16:54,Arsenal FC
Glasgow,55.8609825,-4.2488787,Scotland,GB,Clouds,overcast clouds,2024-03-26 13:21:09,Celtic FC
Antakya,No data,No data,No data,No data,No data,No data,No data,Hatayspor
Beveren,51.21288495,4.249081329859443,East Flanders,BE,Clouds,broken clouds,2024-03-26 13:21:13,SK Beveren
Groninga,53.2190652,6.5680077,Groningen,NL,Clouds,overcast clouds,2024-03-26 13:21:15,FC Groningen
Londres,51.5073219,-0.1276474,England,GB,Rain,moderate rain,2024-03-26 13:16:54,Arsenal FC U21
Av. López y Planes 3553,No data,No data,No data,No data,No data,No data,No data,Club Atlético Unión
