name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
11.200Montevideo,No data,No data,No data,No data,No data,No data,No data,Defensor Sporting Club
Via Nicolò Fieschi,No data,No data,No data,No data,No data,No data,No data,Spezia Calcio
Los Angeles,34.0536909,-118.242766,California,US,Clear,clear sky,2024-03-26 19:46:06,Los Angeles Galaxy
Av. Perito Moreno y Av. Varela,No data,No data,No data,No data,No data,No data,No data,CA San Lorenzo de Almagro
Commerce City,39.8083196,-104.9338675,Colorado,US,Haze,haze,2024-03-26 19:50:55,Colorado Rapids
Paphos,34.7743988,32.4231586,South Cyprus,CY,Rain,light rain,2024-03-26 19:50:56,Pafos FC
Chester,53.1908873,-2.8908955,England,GB,Rain,light rain,2024-03-26 19:50:59,Philadelphia Union
Velika Gorica,No data,No data,No data,No data,No data,No data,No data,HNK Gorica
Ramón Cabrero 2007,No data,No data,No data,No data,No data,No data,No data,Club Atlético Lanús
Belgrado(Serbia),No data,No data,No data,No data,No data,No data,No data,Red Star Belgrade
No data,No data,No data,No data,No data,No data,No data,No data,Botafogo de Futebol e Regatas
Subotica,46.1002058,19.6653273,Vojvodina,RS,Clouds,overcast clouds,2024-03-26 19:51:00,FK Spartak Subotica
Río de Janeiro,-22.9110137,-43.2093727,Rio de Janeiro,BR,Rain,light rain,2024-03-26 19:51:01,Madureira EC
Gwangju,No data,No data,No data,No data,No data,No data,No data,Gwangju FC
No data,No data,No data,No data,No data,No data,No data,No data,CSKA Moscow
Rostov,47.2213858,39.7114196,Rostov Oblast,RU,Clouds,few clouds,2024-03-26 19:46:36,FK Rostov
