name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
Belgrado(Serbia),No data,No data,No data,No data,No data,No data,No data,Red Star Belgrade
Esmirna,No data,No data,No data,No data,No data,No data,No data,Göztepe
Montevideo,-34.9058916,-56.1913095,Montevideo,UY,Clouds,few clouds,2024-03-26 13:38:58,Liverpool FC Montevideo
Balcarce 477,No data,No data,No data,No data,No data,No data,No data,CD Godoy Cruz Antonio Tomba
Samsun,No data,No data,No data,No data,No data,No data,No data,Samsunspor
Commerce City,39.8083196,-104.9338675,Colorado,US,Clouds,scattered clouds,2024-03-26 13:30:14,Colorado Rapids
Chicago,41.8755616,-87.6244212,Illinois,US,Clouds,overcast clouds,2024-03-26 13:34:54,Chicago Fire FC
Envigado,6.1701348,-75.587415,Antioquia,CO,Rain,light rain,2024-03-26 13:39:05,Envigado FC
No data,No data,No data,No data,No data,No data,No data,No data,Fluminense Football Club
Avda. Teresa de Calcuta S/N,No data,No data,No data,No data,No data,No data,No data,Getafe CF
Montevideo,-34.9058916,-56.1913095,Montevideo,UY,Clouds,few clouds,2024-03-26 13:38:58,Montevideo City Torque
No data,No data,No data,No data,No data,No data,No data,No data,Al-Ahli SFC
Samsun,No data,No data,No data,No data,No data,No data,No data,Samsunspor
Niza,43.7009358,7.2683912,Provence-Alpes-Côte d'Azur,FR,Rain,light rain,2024-03-26 13:39:15,OGC Nice
Liubliana,No data,No data,No data,No data,No data,No data,No data,NK Olimpija Ljubljana
Fortaleza,-3.7304512,-38.5217989,Ceará,BR,Clouds,scattered clouds,2024-03-26 13:39:18,Fortaleza Esporte Clube
subsuelo,No data,No data,No data,No data,No data,No data,No data,GNK Dinamo Zagreb
Amberes,51.2211097,4.3997081,Antwerp,BE,Rain,light rain,2024-03-26 13:39:22,Royal Antwerp FC
Frosinone,41.6419807,13.3469287,Lazio,IT,Clouds,broken clouds,2024-03-26 13:39:25,Frosinone Calcio
Pendik,No data,No data,No data,No data,No data,No data,No data,Pendikspor
Estambul,No data,No data,No data,No data,No data,No data,No data,Galatasaray
Samara,53.198627,50.113987,Samara Oblast,RU,Rain,light rain,2024-03-26 13:39:29,Krylya Sovetov Samara
Montevideo,-34.9058916,-56.1913095,Montevideo,UY,Clouds,few clouds,2024-03-26 13:38:58,Montevideo City Torque
Braga,No data,No data,No data,No data,No data,No data,No data,SC Braga
Bodø,No data,No data,No data,No data,No data,No data,No data,FK Bodø/Glimt
Charlotte,35.2272086,-80.8430827,North Carolina,US,Clouds,overcast clouds,2024-03-26 13:35:46,Charlotte FC
Hull,53.7435722,-0.3394758,England,GB,Clouds,scattered clouds,2024-03-26 13:39:38,Hull City
Varsovia,52.2319581,21.0067249,Masovian Voivodeship,PL,Clear,clear sky,2024-03-26 13:36:55,Legia Warszawa
Berlín,No data,No data,No data,No data,No data,No data,No data,Hertha BSC
Istanbul,No data,No data,No data,No data,No data,No data,No data,Fatih Karagümrük
Oremburgo,51.7671248,55.0978517,Orenburg Oblast,RU,Rain,light rain,2024-03-26 13:39:43,FK Orenburg
No data,No data,No data,No data,No data,No data,No data,No data,Shenzhen FC (1994-2024)
ChapecóSanta Catarina,No data,No data,No data,No data,No data,No data,No data,Associação Chapecoense de Futebol
Belo Horizonte,-19.9227318,-43.9450948,Minas Gerais,BR,Rain,light rain,2024-03-26 13:39:06,América Futebol Clube (MG)
Shanghái,No data,No data,No data,No data,No data,No data,No data,Shanghai Port
Sofía,No data,No data,No data,No data,No data,No data,No data,CSKA-Sofia
Razgrad,No data,No data,No data,No data,No data,No data,No data,Ludogorets Razgrad
Lisboa,No data,No data,No data,No data,No data,No data,No data,Sporting CP
Houston,29.7589382,-95.3676974,Texas,US,Clear,clear sky,2024-03-26 13:35:09,Houston Dynamo FC
