name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
Mazatlán,23.2313053,-106.4153144,Sinaloa,MX,Clear,clear sky,2024-03-26 20:00:17,Mazatlán FC
Tijuana,32.5010188,-116.964662,Baja California,MX,Clouds,few clouds,2024-03-26 20:00:18,Club Tijuana
Avda. del Estadio S/N - 30110 -Churra,No data,No data,No data,No data,No data,No data,No data,Real Murcia CF
Umm al-Fahm,32.5158385,35.152491,Haifa District,IL,Clouds,overcast clouds,2024-03-26 20:00:20,Hapoel Umm al-Fahm
Belgrado,44.8178131,20.4568974,Central Serbia,RS,Rain,light rain,2024-03-26 20:00:21,FK Cukaricki
Pasaje Mozart y CorbattaAvellaneda,No data,No data,No data,No data,No data,No data,No data,Racing Club
Novi Sad,45.2551338,19.8451756,Vojvodina,RS,Rain,moderate rain,2024-03-26 20:00:22,FK Vojvodina Novi Sad
Kiev,No data,No data,No data,No data,No data,No data,No data,Shakhtar Donetsk
Vaasa,No data,No data,No data,No data,No data,No data,No data,Vaasan Palloseura
Camino de Anduva s/nMiranda de Ebro(Burgos)España,No data,No data,No data,No data,No data,No data,No data,CD Mirandés
Curitiba,-25.4295963,-49.2712724,Paraná,BR,Clouds,broken clouds,2024-03-26 20:00:23,Coritiba Foot Ball Club
Avda. Juan B. Justo9200,No data,No data,No data,No data,No data,No data,No data,CA Vélez Sarsfield
Ankara,No data,No data,No data,No data,No data,No data,No data,MKE Ankaragücü
Ipswich(Coord.52°03′18″N1°08′41″E﻿ / ﻿52.055061,No data,No data,No data,No data,No data,No data,No data,Ipswich Town
No data,No data,No data,No data,No data,No data,No data,No data,Club Nacional
Londres,51.5073219,-0.1276474,England,GB,Clouds,overcast clouds,2024-03-26 20:00:24,Arsenal FC U21
Via Nicolò Fieschi,No data,No data,No data,No data,No data,No data,No data,Spezia Calcio
No data,No data,No data,No data,No data,No data,No data,No data,Al-Adalah FC
No data,No data,No data,No data,No data,No data,No data,No data,Leeds United U21
Huddersfield(Coord.53°39′15″N1°46′06″O﻿ / ﻿53.654167,No data,No data,No data,No data,No data,No data,No data,Huddersfield Town
Belo Horizonte,-19.9227318,-43.9450948,Minas Gerais,BR,Clouds,overcast clouds,2024-03-26 19:58:15,Cruzeiro Esporte Clube
