name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
Santos,-23.960833,-46.333889,São Paulo,BR,Clouds,overcast clouds,2024-03-26 19:58:57,Santos FC
Pasaje Mozart y CorbattaAvellaneda,No data,No data,No data,No data,No data,No data,No data,Racing Club
Ruta Provincial 26y Quintana,No data,No data,No data,No data,No data,No data,No data,Deportivo Armenio
Agadir,No data,No data,No data,No data,No data,No data,No data,Hassania d'Agadir
Cincinnati,39.1014537,-84.5124602,Ohio,US,Thunderstorm,thunderstorm,2024-03-26 19:58:11,FC Cincinnati
No data,No data,No data,No data,No data,No data,No data,No data,SE Palmeiras São Paulo U20
Av. 6 de Diciembre y Naciones Unidas,No data,No data,No data,No data,No data,No data,No data,Cumbayá FC
No data,No data,No data,No data,No data,No data,No data,No data,CA Boca Juniors II
Bogotá,No data,No data,No data,No data,No data,No data,No data,Independiente Santa Fe
Montevideo,-34.9058916,-56.1913095,Montevideo,UY,Clear,clear sky,2024-03-26 19:58:59,Montevideo City Torque
Portimão,No data,No data,No data,No data,No data,No data,No data,Portimonense SC
Avenida Presidente Juscelino Kubitschek,No data,No data,No data,No data,No data,No data,No data,Clube Atlético Mineiro
Chaves,No data,No data,No data,No data,No data,No data,No data,GD Chaves
Túnez (ciudad),36.8002068,10.1857757,Tunis,TN,Clouds,scattered clouds,2024-03-26 19:59:00,Stade Tunisien
Monastir,39.38474,9.044841,Sardinia,IT,Rain,heavy intensity rain,2024-03-26 19:59:01,US Monastir
No data,No data,No data,No data,No data,No data,No data,No data,Everton FC U21
Fortaleza,-3.7304512,-38.5217989,Ceará,BR,Rain,light rain,2024-03-26 19:59:02,Fortaleza Esporte Clube
Av. de Heliópolis,No data,No data,No data,No data,No data,No data,No data,Real Betis Balompié
No data,No data,No data,No data,No data,No data,No data,No data,Al-Ettifaq FC
Berlín,No data,No data,No data,No data,No data,No data,No data,Hertha BSC
Borås,No data,No data,No data,No data,No data,No data,No data,IF Elfsborg
Corso Gaetano Scirea,No data,No data,No data,No data,No data,No data,No data,Juventus FC
Pazardzhik,No data,No data,No data,No data,No data,No data,No data,Hebar Pazardzhik
Groninga,53.2190652,6.5680077,Groningen,NL,Clouds,overcast clouds,2024-03-26 19:59:02,FC Groningen
Istanbul,No data,No data,No data,No data,No data,No data,No data,Fatih Karagümrük
Maguncia,50.0012314,8.2762513,Rhineland-Palatinate,DE,Clear,clear sky,2024-03-26 19:59:03,1.FSV Mainz 05
Gante,51.0538286,3.7250121,East Flanders,BE,Clouds,overcast clouds,2024-03-26 19:59:04,KAA Gent
Santa Laura 1241Independencia,No data,No data,No data,No data,No data,No data,No data,Unión Española
Pachuca,20.1165413,-98.7413535,Hidalgo,MX,Clouds,few clouds,2024-03-26 19:59:05,CF Pachuca
Av. Padre Leopoldo Brentano,No data,No data,No data,No data,No data,No data,No data,Grêmio Foot-Ball Porto Alegrense
Av. Barcelona Sporting Club,No data,No data,No data,No data,No data,No data,No data,Barcelona SC Guayaquil
Avenue Simone Veil,No data,No data,No data,No data,No data,No data,No data,Olympique Lyon
Parque de la IndependenciaRosario,No data,No data,No data,No data,No data,No data,No data,CA Newell's Old Boys
Lancy,46.1839156,6.1224047,Geneva,CH,Rain,light rain,2024-03-26 19:59:06,Servette FC
No data,No data,No data,No data,No data,No data,No data,No data,PAOK Thessaloniki
Reggio Emilia,44.6978389,10.6304971,Emilia-Romagna,IT,Clouds,overcast clouds,2024-03-26 19:56:44,US Sassuolo
Londres,51.5073219,-0.1276474,England,GB,Clouds,overcast clouds,2024-03-26 19:55:16,Tottenham Hotspur
Częstochowa,50.8120466,19.113213,Silesian Voivodeship,PL,Clouds,overcast clouds,2024-03-26 19:59:08,Rakow Czestochowa
No data,No data,No data,No data,No data,No data,No data,No data,Basaksehir FK
Lens,50.4291723,2.8319805,Hauts-de-France,FR,Clouds,overcast clouds,2024-03-26 19:59:09,RC Lens
Estambul,No data,No data,No data,No data,No data,No data,No data,Besiktas JK
Bérgamo,45.6944947,9.6698727,Lombardy,IT,Rain,moderate rain,2024-03-26 19:59:10,Atalanta BC
Berlín,No data,No data,No data,No data,No data,No data,No data,1.FC Union Berlin
Corso Gaetano Scirea,No data,No data,No data,No data,No data,No data,No data,Juventus FC
Cagliari,39.2171994,9.113311,Sardinia,IT,Clouds,scattered clouds,2024-03-26 19:59:11,Cagliari Calcio
Adana,No data,No data,No data,No data,No data,No data,No data,Adana Demirspor
Belgrado,44.8178131,20.4568974,Central Serbia,RS,Rain,light rain,2024-03-26 19:59:12,FK Partizan Belgrade
Ploieşti,No data,No data,No data,No data,No data,No data,No data,Petrolul Ploiesti
No data,No data,No data,No data,No data,No data,No data,No data,Deportivo Guadalajara
Estocolmo,No data,No data,No data,No data,No data,No data,No data,Djurgårdens IF
Bratislava,48.1435149,17.108279,Region of Bratislava,SK,Clear,clear sky,2024-03-26 19:59:13,Slovan Bratislava
Luton(Coord.51°53′03″N0°25′54″O﻿ / ﻿51.884167,No data,No data,No data,No data,No data,No data,No data,Luton Town
Limassol,34.6852901,33.0332657,South Cyprus,CY,Clouds,overcast clouds,2024-03-26 19:59:14,Aris Limassol
Midori-ku,No data,No data,No data,No data,No data,No data,No data,Urawa Red Diamonds
Koprivnica,No data,No data,No data,No data,No data,No data,No data,Slaven Belupo Koprivnica
Grozny,43.3197031,45.6934308,Chechnya,RU,Clear,clear sky,2024-03-26 19:59:15,Akhmat Grozny
Guido y Spano 1053Victoria,No data,No data,No data,No data,No data,No data,No data,Club Atlético Tigre
Atenas,37.9839412,23.7283052,Attica,GR,Clouds,scattered clouds,2024-03-26 19:59:16,Panathinaikos FC
Kashiwa,No data,No data,No data,No data,No data,No data,No data,Kashiwa Reysol
