name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
Cincinnati,39.1014537,-84.5124602,Ohio,US,Rain,moderate rain,2024-03-26 20:08:15,FC Cincinnati
Camino Mangangá s/n,No data,No data,No data,No data,No data,No data,No data,CA Peñarol
Cagliari,39.2171994,9.113311,Sardinia,IT,Clouds,scattered clouds,2024-03-26 20:09:34,Cagliari Calcio
Zona Sur,-40.4450321,-72.9021261,Los Ríos Region,CL,Clouds,broken clouds,2024-03-26 20:09:35,The Strongest La Paz
Santa Laura 1241Independencia,No data,No data,No data,No data,No data,No data,No data,Unión Española
Graz,47.0708678,15.4382786,Styria,AT,Clouds,broken clouds,2024-03-26 20:09:35,SK Sturm Graz
Avenue Théo Verbeeck 2,No data,No data,No data,No data,No data,No data,No data,RSC Anderlecht
Amberes,51.2211097,4.3997081,Antwerp,BE,Clear,clear sky,2024-03-26 20:08:04,Royal Antwerp FC
Winterthur,47.4991723,8.7291498,Zurich,CH,Clear,clear sky,2024-03-26 20:09:37,FC Winterthur
Kiev,No data,No data,No data,No data,No data,No data,No data,Shakhtar Donetsk
C/ Pintor Manuel Maldonado s/nGranada,No data,No data,No data,No data,No data,No data,No data,Granada CF
Estambul,No data,No data,No data,No data,No data,No data,No data,Galatasaray
Moreira de Cónegos,No data,No data,No data,No data,No data,No data,No data,Moreirense FC
Dunajská Streda,47.9893751,17.6202595,Region of Trnava,SK,Clouds,overcast clouds,2024-03-26 20:09:38,DAC Dunajska Streda
