name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
Av. Juan José Paso 3535,No data,No data,No data,No data,No data,No data,No data,CA Colon
Av. Padre Leopoldo Brentano,No data,No data,No data,No data,No data,No data,No data,Grêmio Foot-Ball Porto Alegrense
Belo Horizonte,-19.9227318,-43.9450948,Minas Gerais,BR,Clouds,overcast clouds,2024-03-26 19:58:15,América Futebol Clube (MG)
Doha,No data,No data,No data,No data,No data,No data,No data,Al-Duhail SC
Gaziantep,No data,No data,No data,No data,No data,No data,No data,Gaziantep FK
Ciudad de México,No data,No data,No data,No data,No data,No data,No data,UNAM Pumas
Av. Pablo Ricchieri 1595,No data,No data,No data,No data,No data,No data,No data,CA Talleres
Av. Ana Barba y Av. Ejército NacionalSanta Cruz de la Sierra,No data,No data,No data,No data,No data,No data,No data,Club Deportivo Oriente Petrolero
Peña y Arenales,No data,No data,No data,No data,No data,No data,No data,CA Banfield
Ricardo Bochini 751[7]​Avellaneda,No data,No data,No data,No data,No data,No data,No data,CA Independiente
Toulouse,43.6044622,1.4442469,Occitania,FR,Clear,clear sky,2024-03-26 20:05:19,FC Toulouse
Nantes,47.2186371,-1.5541362,Pays de la Loire,FR,Clear,clear sky,2024-03-26 20:00:33,FC Nantes
Konya,No data,No data,No data,No data,No data,No data,No data,Konyaspor
Údine,46.0634632,13.2358377,Friuli-Venezia Giulia,IT,Clouds,broken clouds,2024-03-26 20:00:31,Udinese Calcio
Augsburgo,48.3668041,10.8986971,Bavaria,DE,Clouds,broken clouds,2024-03-26 20:05:22,FC Augsburg
Seasiders WayBlackpool(Coord.53°48′17″N3°02′53″O﻿ / ﻿53.804722,No data,No data,No data,No data,No data,No data,No data,Blackpool FC
Estrasburgo,48.584614,7.7507127,Grand Est,FR,Clear,clear sky,2024-03-26 20:05:23,RC Strasbourg Alsace
Paderborn,51.71895955,8.764869778177559,North Rhine-Westphalia,DE,Clear,clear sky,2024-03-26 20:05:24,SC Paderborn 07
Sochi,43.5854823,39.723109,Krasnodar Krai,RU,Clouds,overcast clouds,2024-03-26 20:05:25,FC Sochi
Pachuca,20.1165413,-98.7413535,Hidalgo,MX,Clouds,few clouds,2024-03-26 20:05:26,CF Pachuca
Samsun,No data,No data,No data,No data,No data,No data,No data,Samsunspor
Praga,50.0874654,14.4212535,Prague,CZ,Clear,clear sky,2024-03-26 20:05:27,AC Sparta Prague
Atenas,37.9839412,23.7283052,Attica,GR,Clouds,scattered clouds,2024-03-26 20:02:52,Panathinaikos FC
Núremberg,49.453872,11.077298,Bavaria,DE,Clear,clear sky,2024-03-26 20:05:29,1.FC Nuremberg
Niza,43.7009358,7.2683912,Provence-Alpes-Côte d'Azur,FR,Clouds,broken clouds,2024-03-26 20:05:30,OGC Nice
Avenida Luis Aragonés,No data,No data,No data,No data,No data,No data,No data,Atlético de Madrid
Nottingham,52.9534193,-1.1496461,England,GB,Rain,moderate rain,2024-03-26 20:05:32,Nottingham Forest
No data,No data,No data,No data,No data,No data,No data,No data,FK Vozdovac
Viale del Fante,No data,No data,No data,No data,No data,No data,No data,Palermo FC
Emmen,52.75286615,6.952513466208563,Drenthe,NL,Clouds,overcast clouds,2024-03-26 20:05:32,FC Emmen
No data,No data,No data,No data,No data,No data,No data,No data,FC Rapid Bucharest
Módena,44.6458885,10.9255707,Emilia-Romagna,IT,Rain,light rain,2024-03-26 20:01:09,Modena FC
San Luis,-33.3019696,-66.3369903,San Luis,AR,Clouds,scattered clouds,2024-03-26 20:03:09,St. Louis CITY SC
Av. Figueroa Alcorta 7597,No data,No data,No data,No data,No data,No data,No data,CA River Plate
No data,No data,No data,No data,No data,No data,No data,No data,Lokomotiv Moscow
Medellín,6.2443382,-75.573553,Antioquia,CO,Clouds,scattered clouds,2024-03-26 20:05:35,Independiente Medellín
Seúl,No data,No data,No data,No data,No data,No data,No data,Seoul E-Land
Av. Las Flores 13 000Las Condes,No data,No data,No data,No data,No data,No data,No data,CD Universidad Católica
Luna 1211,No data,No data,No data,No data,No data,No data,No data,CA Barracas Central
Osaka,34.6937569,135.5014539,Osaka Prefecture,JP,Clouds,scattered clouds,2024-03-26 20:05:37,Cerezo Osaka
Los Angeles,34.0536909,-118.242766,California,US,Clear,clear sky,2024-03-26 20:02:30,Los Angeles Galaxy
