name,latitude,longitude,state,country,sky_weather,weather_description,timestamp,Team
Montevideo,-34.9058916,-56.1913095,Montevideo,UY,Clear,clear sky,2024-03-26 19:58:59,Montevideo City Torque
Londres(Coord.51°29′11″N0°02′11″E﻿ / ﻿51.486389,No data,No data,No data,No data,No data,No data,No data,Charlton Athletic
Yokohama,No data,No data,No data,No data,No data,No data,No data,Yokohama F. Marinos
Cagliari,39.2171994,9.113311,Sardinia,IT,Clouds,scattered clouds,2024-03-26 19:59:11,Cagliari Calcio
Avda. Juan B. Justo9200,No data,No data,No data,No data,No data,No data,No data,CA Vélez Sarsfield
Belgrado(Serbia),No data,No data,No data,No data,No data,No data,No data,Red Star Belgrade
No data,No data,No data,No data,No data,No data,No data,No data,AFC Bournemouth
Lisboa,No data,No data,No data,No data,No data,No data,No data,Sporting CP B
No data,No data,No data,No data,No data,No data,No data,No data,SC Chabab Mohammedia
Avenida 60 y calle 118,No data,No data,No data,No data,No data,No data,No data,Club de Gimnasia y Esgrima La Plata
Túnez (ciudad),36.8002068,10.1857757,Tunis,TN,Clouds,scattered clouds,2024-03-26 19:59:00,Stade Tunisien
Reims,49.2577886,4.031926,Grand Est,FR,Clouds,broken clouds,2024-03-26 20:03:05,Stade Reims
Londres(Coord.51°29′17″N0°18′10″O﻿ / ﻿51.488183,No data,No data,No data,No data,No data,No data,No data,Brentford FC
Condado de Split-Dalmacia.Croacia,No data,No data,No data,No data,No data,No data,No data,NK Croatia Zmijavci
Villeneuve-d'Ascq,50.6193174,3.1314002,Hauts-de-France,FR,Clouds,overcast clouds,2024-03-26 20:03:05,LOSC Lille
No data,No data,No data,No data,No data,No data,No data,No data,CA Boca Juniors II
Brujas,51.2085526,3.226772,West Flanders,BE,Clouds,overcast clouds,2024-03-26 20:03:06,Club Brugge KV
Montevideo,-34.9058916,-56.1913095,Montevideo,UY,Clear,clear sky,2024-03-26 19:58:59,Montevideo Wanderers
Londres(Coord.51°29′17″N0°18′10″O﻿ / ﻿51.488183,No data,No data,No data,No data,No data,No data,No data,Brentford FC
Av. Figueroa Alcorta 7597,No data,No data,No data,No data,No data,No data,No data,CA River Plate
Milán,45.4641943,9.1896346,Lombardy,IT,Rain,light rain,2024-03-26 20:03:08,AC Milan
Grünwalder Str. 4,No data,No data,No data,No data,No data,No data,No data,FC Bayern Munich II
Brighton(Coord.50°51′43″N0°05′00″O﻿ / ﻿50.861822,No data,No data,No data,No data,No data,No data,No data,Brighton & Hove Albion
San Luis,-33.3019696,-66.3369903,San Luis,AR,Clouds,scattered clouds,2024-03-26 20:03:09,St. Louis CITY SC
Av. López y Planes 3553,No data,No data,No data,No data,No data,No data,No data,Club Atlético Unión
Borås,No data,No data,No data,No data,No data,No data,No data,IF Elfsborg
Bochum,51.4818111,7.2196635,North Rhine-Westphalia,DE,Clouds,overcast clouds,2024-03-26 20:02:30,VfL Bochum
Limassol,34.6852901,33.0332657,South Cyprus,CY,Clouds,overcast clouds,2024-03-26 19:59:14,Apollon Limassol
Neiva,2.9263127,-75.2891733,Huila,CO,Clouds,scattered clouds,2024-03-26 20:03:11,CD Atlético Huila
Trebisonda,41.0054605,39.7301463,Trabzon,TR,Clear,clear sky,2024-03-26 20:03:12,Trabzonspor
Lisboa,No data,No data,No data,No data,No data,No data,No data,SL Benfica
Curitiba,-25.4295963,-49.2712724,Paraná,BR,Clouds,broken clouds,2024-03-26 20:00:23,Club Athletico Paranaense
Luna 1211,No data,No data,No data,No data,No data,No data,No data,CA Barracas Central
Chōfu,No data,No data,No data,No data,No data,No data,No data,FC Tokyo
